cond;etac;lg;catpri18;COUNT;PERCENT;DURM;MX;MN;SD
1;2;01;8.3.1;283;0.2781272112587468;00:30:08.482000;06:29:59.997000;00:09:59.996000;00:34:47.640000
1;2;01;3.4.1;216;0.2122808396886548;01:04:21.112000;05:10:00.002000;00:09:59.996000;00:55:26.616000
1;2;01;3.7.1;157;0.15429672144036485;00:25:17.201000;03:20:00.001000;00:09:59.996000;00:27:02.765000
1;2;01;3.2.9;146;0.14348612312288703;00:18:09.037000;02:30:00.003000;00:09:59.996000;00:24:26.320000
1;2;01;7.3.9;120;0.11793379982703044;00:21:40;01:30:00;00:09:59.996000;00:16:24.925000
1;2;01;3.5.4;119;0.11695101816180518;00:37:58.990000;03:00:00;00:09:59.996000;00:31:14.033000
1;2;01;7.3.5;114;0.11203710983567892;00:54:44.211000;07:20:00.004000;00:09:59.996000;00:50:54.421000
1;2;01;3.2.3;112;0.1100715465052284;00:29:11.786000;04:50:00.001000;00:09:59.996000;00:43:22.454000
1;2;01;7.3.4;100;0.09827816652252534;00:54:29.998000;03:40:00.002000;00:09:59.996000;00:37:43.343000
1;2;01;3.9.1;93;0.0913986948659486;00:13:00.641000;00:49:59.998000;00:09:59.996000;00:08:10.838000
1;2;01;2.1.2;89;0.08746756820504759;01:34:09.437000;06:00:00;00:09:59.996000;01:09:15.754000
1;2;01;7.1.1;84;0.0825536598789213;00:57:15.713000;04:00:00.003000;00:09:59.996000;00:47:48.212000
1;2;01;4.3.2;81;0.07960531488324554;00:24:26.666000;01:30:00;00:09:59.996000;00:16:43.994000
1;2;01;4.2.3;69;0.0678119349005425;00:39:42.610000;02:50:00.004000;00:09:59.996000;00:37:17.838000
1;2;01;6.1.5;69;0.0678119349005425;00:37:58.264000;02:30:00.003000;00:09:59.996000;00:29:04.978000
1;2;01;3.5.3;63;0.061915244909190974;00:45:42.854000;03:29:59.997000;00:09:59.996000;00:43:14.644000
1;2;01;7.3.2;63;0.061915244909190974;01:00:09.524000;05:19:59.998000;00:09:59.996000;00:48:58.386000
1;2;01;2.2.1;56;0.0550357732526142;01:14:17.143000;03:29:59.997000;00:09:59.996000;00:48:00.585000
1;2;01;3.2.5;47;0.04619073826558693;00:12:45.953000;00:40:00.002000;00:09:59.996000;00:06:29.690000
1;2;01;5.1.3;45;0.044225174935136405;00:56:40.004000;04:59:59.997000;00:09:59.996000;01:18:42.676000
1;2;01;3.2.2;44;0.04324239326991116;00:38:38.181000;02:19:59.998000;00:09:59.996000;00:36:53.412000
1;2;01;4.2.4;37;0.03636292161333438;00:39:27.567000;02:50:00.004000;00:09:59.996000;00:35:30.477000
1;2;01;3.1.9;36;0.03538013994810913;00:31:06.663000;01:50:00.001000;00:09:59.996000;00:22:16.090000
1;2;01;3.5.2;35;0.03439735828288388;01:13:08.576000;06:00:00;00:09:59.996000;01:15:05.933000
